TEAM_NAME,FG3A,SEASON
Atlanta Hawks,15.2,2003-04
Boston Celtics,19.5,2003-04
Chicago Bulls,15.3,2003-04
Cleveland Cavaliers,9.6,2003-04
Dallas Mavericks,17.8,2003-04
Denver Nuggets,12.0,2003-04
Detroit Pistons,11.8,2003-04
Golden State Warriors,15.6,2003-04
Houston Rockets,17.1,2003-04
Indiana Pacers,15.6,2003-04
Los Angeles Clippers,12.5,2003-04
Los Angeles Lakers,13.6,2003-04
Memphis Grizzlies,16.0,2003-04
Miami Heat,16.5,2003-04
Milwaukee Bucks,14.0,2003-04
Minnesota Timberwolves,10.9,2003-04
New Jersey Nets,13.7,2003-04
New Orleans Hornets,20.3,2003-04
New York Knicks,13.6,2003-04
Orlando Magic,15.2,2003-04
Philadelphia 76ers,12.1,2003-04
Phoenix Suns,14.7,2003-04
Portland Trail Blazers,13.4,2003-04
Sacramento Kings,18.3,2003-04
San Antonio Spurs,13.9,2003-04
Seattle SuperSonics,23.6,2003-04
Toronto Raptors,15.8,2003-04
Utah Jazz,9.6,2003-04
Washington Wizards,15.5,2003-04
Atlanta Hawks,11.9,2004-05
Boston Celtics,15.3,2004-05
Charlotte Bobcats,10.7,2004-05
Chicago Bulls,17.5,2004-05
Cleveland Cavaliers,11.0,2004-05
Dallas Mavericks,15.5,2004-05
Denver Nuggets,11.5,2004-05
Detroit Pistons,12.8,2004-05
Golden State Warriors,21.6,2004-05
Houston Rockets,18.5,2004-05
Indiana Pacers,19.2,2004-05
Los Angeles Clippers,8.2,2004-05
Los Angeles Lakers,22.1,2004-05
Memphis Grizzlies,18.1,2004-05
Miami Heat,15.4,2004-05
Milwaukee Bucks,11.3,2004-05
Minnesota Timberwolves,14.0,2004-05
New Jersey Nets,14.7,2004-05
New Orleans Hornets,16.0,2004-05
New York Knicks,15.1,2004-05
Orlando Magic,11.2,2004-05
Philadelphia 76ers,17.7,2004-05
Phoenix Suns,24.7,2004-05
Portland Trail Blazers,14.2,2004-05
Sacramento Kings,17.0,2004-05
San Antonio Spurs,17.0,2004-05
Seattle SuperSonics,22.2,2004-05
Toronto Raptors,20.5,2004-05
Utah Jazz,9.3,2004-05
Washington Wizards,18.3,2004-05
Atlanta Hawks,14.1,2005-06
Boston Celtics,15.7,2005-06
Charlotte Bobcats,15.4,2005-06
Chicago Bulls,18.0,2005-06
Cleveland Cavaliers,17.9,2005-06
Dallas Mavericks,13.6,2005-06
Denver Nuggets,13.1,2005-06
Detroit Pistons,17.7,2005-06
Golden State Warriors,22.3,2005-06
Houston Rockets,17.2,2005-06
Indiana Pacers,18.7,2005-06
Los Angeles Clippers,10.3,2005-06
Los Angeles Lakers,19.3,2005-06
Memphis Grizzlies,19.2,2005-06
Miami Heat,17.6,2005-06
Milwaukee Bucks,16.3,2005-06
Minnesota Timberwolves,11.5,2005-06
New Jersey Nets,17.6,2005-06
New Orleans/Oklahoma City Hornets,10.8,2005-06
New York Knicks,10.8,2005-06
Orlando Magic,9.7,2005-06
Philadelphia 76ers,12.6,2005-06
Phoenix Suns,25.6,2005-06
Portland Trail Blazers,12.7,2005-06
Sacramento Kings,17.2,2005-06
San Antonio Spurs,16.6,2005-06
Seattle SuperSonics,19.9,2005-06
Toronto Raptors,19.8,2005-06
Utah Jazz,11.3,2005-06
Washington Wizards,17.0,2005-06
Atlanta Hawks,12.7,2006-07
Boston Celtics,15.6,2006-07
Charlotte Bobcats,15.6,2006-07
Chicago Bulls,15.1,2006-07
Cleveland Cavaliers,17.1,2006-07
Dallas Mavericks,17.1,2006-07
Denver Nuggets,17.6,2006-07
Detroit Pistons,15.9,2006-07
Golden State Warriors,24.0,2006-07
Houston Rockets,23.1,2006-07
Indiana Pacers,16.9,2006-07
Los Angeles Clippers,11.0,2006-07
Los Angeles Lakers,21.0,2006-07
Memphis Grizzlies,16.6,2006-07
Miami Heat,18.8,2006-07
Milwaukee Bucks,18.0,2006-07
Minnesota Timberwolves,13.3,2006-07
New Jersey Nets,20.4,2006-07
New Orleans/Oklahoma City Hornets,15.3,2006-07
New York Knicks,16.7,2006-07
Orlando Magic,11.7,2006-07
Philadelphia 76ers,10.0,2006-07
Phoenix Suns,24.0,2006-07
Portland Trail Blazers,15.0,2006-07
Sacramento Kings,18.5,2006-07
San Antonio Spurs,19.0,2006-07
Seattle SuperSonics,17.7,2006-07
Toronto Raptors,17.9,2006-07
Utah Jazz,12.9,2006-07
Washington Wizards,19.7,2006-07
Atlanta Hawks,13.1,2007-08
Boston Celtics,19.1,2007-08
Charlotte Bobcats,17.6,2007-08
Chicago Bulls,15.9,2007-08
Cleveland Cavaliers,18.8,2007-08
Dallas Mavericks,17.1,2007-08
Denver Nuggets,19.6,2007-08
Detroit Pistons,16.2,2007-08
Golden State Warriors,26.6,2007-08
Houston Rockets,20.8,2007-08
Indiana Pacers,24.6,2007-08
Los Angeles Clippers,13.2,2007-08
Los Angeles Lakers,21.4,2007-08
Memphis Grizzlies,21.7,2007-08
Miami Heat,16.7,2007-08
Milwaukee Bucks,16.0,2007-08
Minnesota Timberwolves,15.4,2007-08
New Jersey Nets,17.4,2007-08
New Orleans Hornets,19.8,2007-08
New York Knicks,17.7,2007-08
Orlando Magic,25.3,2007-08
Philadelphia 76ers,11.6,2007-08
Phoenix Suns,21.5,2007-08
Portland Trail Blazers,17.4,2007-08
Sacramento Kings,16.7,2007-08
San Antonio Spurs,19.6,2007-08
Seattle SuperSonics,11.5,2007-08
Toronto Raptors,17.8,2007-08
Utah Jazz,13.4,2007-08
Washington Wizards,19.7,2007-08
Atlanta Hawks,19.9,2008-09
Boston Celtics,16.5,2008-09
Charlotte Bobcats,16.3,2008-09
Chicago Bulls,15.8,2008-09
Cleveland Cavaliers,20.4,2008-09
Dallas Mavericks,19.9,2008-09
Denver Nuggets,18.0,2008-09
Detroit Pistons,13.2,2008-09
Golden State Warriors,18.0,2008-09
Houston Rockets,20.2,2008-09
Indiana Pacers,21.0,2008-09
Los Angeles Clippers,18.5,2008-09
Los Angeles Lakers,18.5,2008-09
Memphis Grizzlies,13.5,2008-09
Miami Heat,19.9,2008-09
Milwaukee Bucks,17.2,2008-09
Minnesota Timberwolves,18.8,2008-09
New Jersey Nets,21.2,2008-09
New Orleans Hornets,18.6,2008-09
New York Knicks,27.9,2008-09
Oklahoma City Thunder,11.6,2008-09
Orlando Magic,26.2,2008-09
Philadelphia 76ers,13.1,2008-09
Phoenix Suns,17.6,2008-09
Portland Trail Blazers,19.0,2008-09
Sacramento Kings,19.4,2008-09
San Antonio Spurs,19.8,2008-09
Toronto Raptors,15.7,2008-09
Utah Jazz,13.7,2008-09
Washington Wizards,14.6,2008-09
Atlanta Hawks,17.7,2009-10
Boston Celtics,17.5,2009-10
Charlotte Bobcats,16.2,2009-10
Chicago Bulls,13.0,2009-10
Cleveland Cavaliers,19.3,2009-10
Dallas Mavericks,18.3,2009-10
Denver Nuggets,18.5,2009-10
Detroit Pistons,14.5,2009-10
Golden State Warriors,20.6,2009-10
Houston Rockets,22.4,2009-10
Indiana Pacers,23.1,2009-10
Los Angeles Clippers,17.8,2009-10
Los Angeles Lakers,19.0,2009-10
Memphis Grizzlies,12.4,2009-10
Miami Heat,17.4,2009-10
Milwaukee Bucks,22.1,2009-10
Minnesota Timberwolves,14.4,2009-10
New Jersey Nets,14.5,2009-10
New Orleans Hornets,19.2,2009-10
New York Knicks,26.2,2009-10
Oklahoma City Thunder,15.0,2009-10
Orlando Magic,27.3,2009-10
Philadelphia 76ers,16.8,2009-10
Phoenix Suns,21.6,2009-10
Portland Trail Blazers,16.9,2009-10
Sacramento Kings,16.9,2009-10
San Antonio Spurs,18.9,2009-10
Toronto Raptors,17.0,2009-10
Utah Jazz,14.7,2009-10
Washington Wizards,14.9,2009-10
Atlanta Hawks,17.4,2010-11
Boston Celtics,13.6,2010-11
Charlotte Bobcats,14.7,2010-11
Chicago Bulls,17.3,2010-11
Cleveland Cavaliers,18.2,2010-11
Dallas Mavericks,21.6,2010-11
Denver Nuggets,20.8,2010-11
Detroit Pistons,15.3,2010-11
Golden State Warriors,21.3,2010-11
Houston Rockets,22.5,2010-11
Indiana Pacers,20.2,2010-11
Los Angeles Clippers,18.5,2010-11
Los Angeles Lakers,18.1,2010-11
Memphis Grizzlies,11.3,2010-11
Miami Heat,18.0,2010-11
Milwaukee Bucks,17.2,2010-11
Minnesota Timberwolves,19.1,2010-11
New Jersey Nets,16.3,2010-11
New Orleans Hornets,15.0,2010-11
New York Knicks,25.4,2010-11
Oklahoma City Thunder,17.1,2010-11
Orlando Magic,25.6,2010-11
Philadelphia 76ers,15.2,2010-11
Phoenix Suns,22.6,2010-11
Portland Trail Blazers,18.3,2010-11
Sacramento Kings,15.6,2010-11
San Antonio Spurs,21.1,2010-11
Toronto Raptors,13.3,2010-11
Utah Jazz,15.3,2010-11
Washington Wizards,14.4,2010-11
Atlanta Hawks,20.2,2011-12
Boston Celtics,15.0,2011-12
Charlotte Bobcats,13.5,2011-12
Chicago Bulls,16.9,2011-12
Cleveland Cavaliers,19.3,2011-12
Dallas Mavericks,22.2,2011-12
Denver Nuggets,19.9,2011-12
Detroit Pistons,13.9,2011-12
Golden State Warriors,20.5,2011-12
Houston Rockets,20.2,2011-12
Indiana Pacers,16.1,2011-12
Los Angeles Clippers,21.8,2011-12
Los Angeles Lakers,16.8,2011-12
Memphis Grizzlies,12.9,2011-12
Miami Heat,15.6,2011-12
Milwaukee Bucks,19.2,2011-12
Minnesota Timberwolves,21.6,2011-12
New Jersey Nets,22.4,2011-12
New Orleans Hornets,11.8,2011-12
New York Knicks,23.3,2011-12
Oklahoma City Thunder,20.0,2011-12
Orlando Magic,27.0,2011-12
Philadelphia 76ers,14.6,2011-12
Phoenix Suns,19.6,2011-12
Portland Trail Blazers,20.9,2011-12
Sacramento Kings,19.7,2011-12
San Antonio Spurs,21.3,2011-12
Toronto Raptors,16.3,2011-12
Utah Jazz,12.8,2011-12
Washington Wizards,16.3,2011-12
Atlanta Hawks,23.2,2012-13
Boston Celtics,17.2,2012-13
Brooklyn Nets,21.5,2012-13
Charlotte Bobcats,17.1,2012-13
Chicago Bulls,15.4,2012-13
Cleveland Cavaliers,19.3,2012-13
Dallas Mavericks,19.9,2012-13
Denver Nuggets,18.5,2012-13
Detroit Pistons,17.6,2012-13
Golden State Warriors,19.9,2012-13
Houston Rockets,28.9,2012-13
Indiana Pacers,19.7,2012-13
Los Angeles Clippers,21.4,2012-13
Los Angeles Lakers,24.6,2012-13
Memphis Grizzlies,13.5,2012-13
Miami Heat,22.1,2012-13
Milwaukee Bucks,20.4,2012-13
Minnesota Timberwolves,18.0,2012-13
New Orleans Hornets,18.0,2012-13
New York Knicks,28.9,2012-13
Oklahoma City Thunder,19.4,2012-13
Orlando Magic,18.7,2012-13
Philadelphia 76ers,17.5,2012-13
Phoenix Suns,17.7,2012-13
Portland Trail Blazers,23.2,2012-13
Sacramento Kings,20.5,2012-13
San Antonio Spurs,21.5,2012-13
Toronto Raptors,20.3,2012-13
Utah Jazz,16.9,2012-13
Washington Wizards,18.2,2012-13
Atlanta Hawks,25.8,2013-14
Boston Celtics,21.1,2013-14
Brooklyn Nets,23.4,2013-14
Charlotte Bobcats,17.9,2013-14
